"DATE";"TIME_PERIOD";"OBS_VALUE";"OBS_STATUS";"OBS_QUAL";"OBS_TYPE";"IDBANK";"FREQ";"TITLE_FR";"TITLE_EN";"LAST_UPDATE";"UNIT_MEASURE";"UNIT_MULT";"REF_AREA";"DECIMALS";"OBS_REV"
2020-12-01;"2020-12";136.91;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";NA
2020-11-01;"2020-11";139.47;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-10-01;"2020-10";132.85;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-09-01;"2020-09";135.51;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-08-01;"2020-08";127.4;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";NA
2020-07-01;"2020-07";129.15;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-06-01;"2020-06";138.03;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-05-01;"2020-05";128.74;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-04-01;"2020-04";130.16;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-03-01;"2020-03";139.1;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-02-01;"2020-02";136.13;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2020-01-01;"2020-01";137.81;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-12-01;"2019-12";137.42;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-11-01;"2019-11";134.85;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-10-01;"2019-10";135.62;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-09-01;"2019-09";139.38;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-08-01;"2019-08";137.42;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-07-01;"2019-07";133.16;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-06-01;"2019-06";130.81;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-05-01;"2019-05";133.03;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-04-01;"2019-04";133.77;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-03-01;"2019-03";131.79;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-02-01;"2019-02";128.39;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
2019-01-01;"2019-01";129.68;"A";"DEF";"A";"010543680";"M";"Indice de chiffre d'affaires - Conseil informatique (NAF rév. 2, niv. classe poste 62.02)";"Turnover index - Computer consultancy activities (NAF rev. 2, lev. Class, item 62.02)";"2021-02-26";"SO";"0";"FE";"2";"1"
