"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"1";2020-10-01;7,2;"001688528";"25-49 ans"
"2";2020-07-01;8,3;"001688528";"25-49 ans"
"3";2020-04-01;6,4;"001688528";"25-49 ans"
"4";2020-01-01;7;"001688528";"25-49 ans"
"5";2019-10-01;7,1;"001688528";"25-49 ans"
"6";2019-07-01;7,5;"001688528";"25-49 ans"
"7";2019-04-01;7,5;"001688528";"25-49 ans"
"8";2019-01-01;7,7;"001688528";"25-49 ans"
"9";2018-10-01;7,9;"001688528";"25-49 ans"
"10";2018-07-01;8,1;"001688528";"25-49 ans"
"11";2018-04-01;8,2;"001688528";"25-49 ans"
"12";2018-01-01;8,4;"001688528";"25-49 ans"
"13";2017-10-01;8;"001688528";"25-49 ans"
"14";2017-07-01;8,7;"001688528";"25-49 ans"
"15";2017-04-01;8,5;"001688528";"25-49 ans"
"16";2017-01-01;8,7;"001688528";"25-49 ans"
"17";2016-10-01;9,1;"001688528";"25-49 ans"
"18";2016-07-01;8,6;"001688528";"25-49 ans"
"19";2016-04-01;9;"001688528";"25-49 ans"
"20";2016-01-01;9,3;"001688528";"25-49 ans"
"21";2015-10-01;9,2;"001688528";"25-49 ans"
"22";2015-07-01;9,3;"001688528";"25-49 ans"
"23";2015-04-01;9,5;"001688528";"25-49 ans"
"24";2015-01-01;9,4;"001688528";"25-49 ans"
"25";2014-10-01;9,5;"001688528";"25-49 ans"
"26";2014-07-01;9,4;"001688528";"25-49 ans"
"27";2014-04-01;9,3;"001688528";"25-49 ans"
"28";2014-01-01;9,1;"001688528";"25-49 ans"
"29";2013-10-01;9,2;"001688528";"25-49 ans"
"30";2013-07-01;9,2;"001688528";"25-49 ans"
"31";2013-04-01;9,3;"001688528";"25-49 ans"
"32";2013-01-01;9,1;"001688528";"25-49 ans"
"33";2012-10-01;8,8;"001688528";"25-49 ans"
"34";2012-07-01;8,7;"001688528";"25-49 ans"
"35";2012-04-01;8,7;"001688528";"25-49 ans"
"36";2012-01-01;8,6;"001688528";"25-49 ans"
"37";2011-10-01;8,4;"001688528";"25-49 ans"
"38";2011-07-01;8,2;"001688528";"25-49 ans"
"39";2011-04-01;7,9;"001688528";"25-49 ans"
"40";2011-01-01;8;"001688528";"25-49 ans"
"41";2010-10-01;8,1;"001688528";"25-49 ans"
"42";2010-07-01;7,9;"001688528";"25-49 ans"
"43";2010-04-01;8;"001688528";"25-49 ans"
"44";2010-01-01;8,1;"001688528";"25-49 ans"
